Año;Mes;Descripción Centro;Organismo;Número Contrato;Número Expediente;Descripción Contrato;Tipo Contrato;Procedimiento Adjudicación;Artículo;Apartado;Criterios Adjudicación;Presupuesto Total(IVA Incluido);Importe Adjudicación (IVA Incluido);Plazo;Fecha Adjudicación;Nombre/Razón Social;NIF/CIF Adjudicatario;Fecha Formalización;Acuerdo Marco;Ingreso/Coste Cero;Observaciones
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000043;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 2;Suministro;Abierto;;;Un unico criterio;13.310,00 €;11.762,56 €;24;23/12/2019;INFORMATICA EL CORTE INGLES, S.A.;A28855260;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000044;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 3;Suministro;Abierto;;;Un unico criterio;7.018,00 €;6.485,60 €;24;23/12/2019;INFORMATICA EL CORTE INGLES, S.A.;A28855260;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000045;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 4;Suministro;Abierto;;;Un unico criterio;15.125,00 €;13.487,87 €;24;23/12/2019;TECNICOS ASOCIADOS INFORMATICA, S.A.U.;A79054748;27/12/2019; ;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000046;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 6;Suministro;Abierto;;;Un unico criterio;13.915,00 €;13.915,00 €;24;23/12/2019;AEIOROS SERVICIOS, S.L;B85730166;27/12/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000047;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 1 SUMINISTRO DE REFRESCOS;Suministro;Abierto;;;Pluralidad de criterios;20.097,00 €;20.097,00 €;12;06/09/2019;COCA COLA EUROPEAN PARTNERS IBERIA, S.L.U.;B86561412;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIÓN Y ADJUDICACIÓN PORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000048;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 2 SUMINISTRO DE CERVEZAS Y AGUA;Suministro;Abierto;;;Pluralidad de criterios;36.227,40 €;36.227,40 €;12;06/09/2019;MAHOU S.A.;A28078202;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIÓN Y ADJUDICACIÓN PORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000049;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 4 SUMINISTRO DE SNACKS;Suministro;Abierto;;;Pluralidad de criterios;4.400,00 €;4.400,00 €;12;06/09/2019;PEPSICO FOODS, A.I.E;V01477355;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIÓN Y ADJUDICACIÓN PORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000050;MDC/2019/00237;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO DE MATERIAL DE AUDIOVISUAL, INCLUIDO SU TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE, ASI COMO LA VERIFICACION DE SU CORRECTO FUNCIONAMIENTO Y SU MANEJO POR EL PERSONAL TECNICO, A INSTALAR CON MOTIVO DE LA ACTIVIDAD CULTURAL QUE DESARROLLE MADRID DESTINO;Suministro;Abierto simplificado;;;Un unico criterio;83.490,00 €;83.490,00 €;12;11/09/2019;INFINITY VISUAL, S.L.U.;B86273133;23/09/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000051;MDC/2019/00238;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO DE ESCENARIOS, TORRES DE ILUMINACION, SONIDO Y AUDIOVISUALES, PLANCHADA, TARIMAS TIPO ROSCO, PLATAFORMAS PMR Y PLATAFORMAS, INCLUIDO SU TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE, ASI COMO LA VERIFICACION DE SU CORRECTO FUNCIONAMIENTO Y SU MANEJO POR EL PERSONAL TECNICO, A INSTALAR CON MOTIVO DE LA ACTIVIDAD CULTURAL QUE DESARROLLE MADRID DESTINO;Suministro;Abierto simplificado;;;Un unico criterio;64.735,00 €;64.735,00 €;4,03;20/11/2019;ESTRUCTURAS EVEREST PLUS, S.L.;B19658855;25/11/2019; ;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000052;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 3 SUMINISTRO DE MAIZ, ACEITE Y SAL PARA PALOMITAS;Suministro;Abierto;;;Pluralidad de criterios;5.806,26 €;5.806,26 €;12;06/09/2019;LIVEN, S.A.;A59033647;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIÓN Y ADJUDICACIÓN PORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.
