id,id_ente,id_sede,nombre_de_la_sede,calle,numero_exterior,numero_interior,colonia,alcaldia,codigo_postal,referencias_de_ubicacion,horario_de_atencion,dias_de_atencion,correo_electronico,tel_1,ext_1,tel_2,ext_2,intervencion_en_crisis,terapia_individual,terapia_grupal,impresion_diagnostica,psiquiatrica,salud_reproductiva,atencion_por_lesiones,ile,ive,casa_de_emergencia,refugio,orientacion_o_asesoria_juridica,acompanamiento_juridico,representacion_juridica,medidas_de_proteccion,apertura_de_carpeta_de_investigacion,informacion_y_orientacion,perfiles_socioeconomicos,visitas_de_seguimiento,atencion_re_educativa_a_hombres_que_ejercen_violencia,atencion_psicoterapeutica_a_personas_generadoras_de_violencia,indique_otro_servicio_de_atencion_a_mujeres_victimas_de_violencia_que_porporcione_y_que_no_se_encuen,lon,lat,geopoint
10,FGJ,FGJ-025,Coordinación Territorial  GAM-2,"Av. Congreso de la Unión, casi Av. Talismán",S/N,S/N,Ampliación San Juan de Aragón,Gustavo A. Madero,7490.0,cerca de la estación metro Talismán,24 horas,lunes a domingo,,53468060,,53468050,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1080804,19.4736823,"19.4736823,-99.1080804"
11,FGJ,FGJ-028,Coordinación Territorial  GAM-5,Av. Jose Loreto Fabela y Av. 416,S/N,S/N,7 Sección de San Juan de Aragón,Gustavo A. Madero,7910.0,a unos pasos estación metrobus pte. 416,24 horas,lunes a domingo,,53468090,,534680940,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0792556,19.4732142,"19.4732142,-99.0792556"
12,FGJ,FGJ-030,Coordinación Territorial GAM-7,Av. 661,S/N,S/N,Narciso Bassols,Gustavo A. Madero,7980.0,entre Av.  604 y Av. 606,24 horas,lunes a domingo,,53468028,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0607237,19.4555128,"19.4555128,-99.0607237"
13,FGJ,FGJ-031,Coordinación Territorial  GAM-8,Av. 661,S/N,S/N,Narciso Bassols,Gustavo A. Madero,7980.0,entre Av.  604 y Av. 606,24 horas,lunes a domingo,,53468038,,53468039,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0607237,19.4555128,"19.4555128,-99.0607237"
14,FGJ,FGJ-032,Coordinación Territorial IZC-1,Avenida Congreso de la Unión,S/N,S/N,Nueva Santa Anita,Iztacalco,8210.0,Costado del Metro Santa Anita,24 horas,Lunes a Domingo,,52009180,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1216033,19.4092972,"19.4092972,-99.1216033"
15,FGJ,FGJ-037,Coordinación Territorial IZP-5,Campaña del Ebano y Revolución Social,S/N,S/N,U.H Vicente Guerrero,Iztapalapa,9200.0,Cerca del antirrabico de Iztapalapa,24 horas,lunes a domingo,,56455685,5685.0,56455696,5696,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0538832,19.3518253,"19.3518253,-99.0538832"
16,FGJ,FGJ-038,Coordinación Territorial IZP-6,Av. Telecomunicaciones y Calle 3,S/N,S/N,Tepalcates,Iztapalapa,9010.0,"A un costado del Deposito de Vehiculos ""E""",24 horas,lunes a domingo,,56455633,5633.0,56455639,5633,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0486633,19.3854248,"19.3854248,-99.0486633"
17,FGJ,FGJ-039,Coordinación Territorial IZP-7,Av. San Lorenzo,310,S/N,San Nicolas Tolentino,Iztapalapa,9850.0,A un costado del Panteon San Lorenzo,24 horas,lunes a domingo,,56455690,5690.0,56139751,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0752009,19.3300759,"19.3300759,-99.0752009"
18,FGJ,FGJ-040,Coordinación Territorial IZP-8,Calle Zacatlan,S/N,S/N,Lomas de San Lorenzo,Iztapalapa,9061.0,Entre Av.Tlahuac y Av. Cempazuchil,24 horas,lunes a domingo,,56455644,5644.0,56455693,5693,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-98.9682455,19.3850969,"19.3850969,-98.9682455"
19,FGJ,FGJ-042,"Hospital General Iztapalapa ""Comunidad Economica Europea""",Av. Ermita Iztapalapa y Reforma Aeronautica,3018,S/N,Citlalli,Iztapalapa,9660.0,"Frente al CECYT 7 ""Cuahutemoc""",24 horas,lunes a domingo,,57339102,,54293210,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0271468,19.3436132,"19.3436132,-99.0271468"
20,FGJ,FGJ-046,Coordinación Territorial MH-2,Lago  Erne,S/N,S/N,Pensil Norte,Miguel Hidalgo,11430.0,Esquina Lago Pensil,24 horas,lunes a domingo,,53468259,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1952988,19.4476017,"19.4476017,-99.1952988"
21,FGJ,FGJ-050,Coordinación Territorial  MIL-1,Jalisco y México,S/N,S/N,Villa Milpa Alta,Milpa Alta,12000.0,Frente Alcaldía Milpa Alta,24 horas,lunes a domingo,,52009125,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0323265,19.1966124,"19.1966124,-99.0323265"
22,FGJ,FGJ-057,Coordinación Territorial Tlalpan-4,Periférico Sur esquina Canal Nacional,S/N,S/N,Granjas Coapa,Tlalpan,14330.0,Mercado de las Flores de Cuemanco,24 horas,lunes a domingo,,52009342,,52009319,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1020282,19.2953356,"19.2953356,-99.1020282"
23,FGJ,FGJ-061,Coordinación Territorial VC-3 C/D,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier,219,S/N,Jardin Balbuena,Venustiano Carranza,15900.0,Alcaldía Venustiano Carranza,24 horas,lunes a domingo,,53455831,,53455809,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.113201,19.4190581,"19.4190581,-99.113201"
24,FGJ,FGJ-062,Coordinación Territorial VC-3 S/D,Francisco del Paso y Troncoso esquina con Fray Servando Teresa de Mier,219,S/N,Jardin Balbuena,Venustiano Carranza,15900.0,Alcaldía Venustiano Carranza,24 horas,lunes a domingo,,Red 11964,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.113201,19.4190581,"19.4190581,-99.113201"
25,FGJ,FGJ-072,Agencia del Ministeripo Público Especializada en Atención a Usuarios del STCM Pino Suárez,Plaza Pinio Suárez,S/N,S/N,Centro,Cuauhtémoc,6100.0,,24 por 48,lunes a domingo,,5346-6578,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1327047,19.4282572,"19.4282572,-99.1327047"
26,FGJ,FGJ-073,Agencia del Ministeripo Público Especializada en Atención a Usuarios del STCM Pantitlán,Alberto Branis y Manuel Lebrija,S/N,S/N,Ampliación Adolfo López Mateos,Venustiano Carranza,15670.0,,24 por 48,lunes a domingo,,5242-6559,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.0756281,19.4157858,"19.4157858,-99.0756281"
27,FGJ,FGJ-074,Agencia del Ministeripo Público Especializada en Atención a Usuarios del STCM Hidalgo,Entrada y/o Salida Avenida Puente de Alvarado,S/N,S/N,Centro,Cuauhtémoc,6100.0,,09:00 a 19:00,lunes a viernes,,5200-9412,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-105.9989022,38.5347193,"38.5347193,-105.9989022"
28,FGJ,FGJ-078,Agencia del Ministerio Público Especializada en Atención a Personas Integrantes de la Comunidad LGBTTTI (Coyoacán),Tecualipan,S/N,S/N,Romero de Terreros,Coyoacán,4310.0,,24 por 48,lunes a domingo,,5200-9365,,,,,,,,,,,,,,,Sí,,,Sí,Sí,,,,,,,-99.1669299,19.3431784,"19.3431784,-99.1669299"
29,FGJ,FGJ-080,Agencia del Ministerio Público Especializada en Atención a Usuarios del Sistema de Corredores de Transporte Público de Pasajeros Metrobus,Gabriel Hernández,56,S/N,Doctores,Cuauhtémoc,6720.0,,24 por 48,lunes a domingo,,5346-5115,,,,,,,,,,,,,,,Sí,,,Sí,,,,,,,,-99.1473881,19.4243727,"19.4243727,-99.1473881"
30,FGJ,FGJ-084,Agencia Especializada para la atención de personas Adultas Mayores Vícitmas de Violencia Familiar,General Gabriel Hernández,56,Planta Baja,Doctores,Cuauhtémoc,6720.0,Edificio Bunker Cerca de metro Balderas,9 A 17,L a V,rene_garcia@fgjcdmx.gob.mx,53455111,5111.0,,,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,-99.1473881,19.4243727,"19.4243727,-99.1473881"
31,FGJ,FGJ-085,Agencia Especializada para la atención de personas Adultas Mayores Vícitmas de Violencia Familiar Zona Oriente,Av. Del Rosal,S/N,S/N,Magdalena Atlazolpa,Iztapalapa,9410.0,Cerca de metro Apatlaco,9 A 17,L a V,jaime_lbanuelos@fgjcdmx.gob.mx,52009624,14616.0,,,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,-99.0691211,19.3452759,"19.3452759,-99.0691211"
32,FGJ,FGJ-088,Centro de Justicia para las Mujeres en la CDMX con Sede en Tlalpan,Manuel Constanso (antes San Luis de la Paz N°63) N°43 manzana 603 lote 10,S/N,S/N,Colonia Miguel Hidalgo,Tlalpan,14250.0,Cercano a la estacioón del metrobus Corregidora,24 hrs,"L,M,X,J,V,S,D",cjmtlalpan@gmail.com,52009281,9281.0,52009280,9280,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,"Empoderamiento Económico de la Mujer, Programa de Autonomía para la Mujer, Servicio de área Lúdica para las hijas e hijos de hasta los 12 años de las personas usuarias, Servicio del Juzgado Cívico, Atención Médica de Primer Nivel, Programa de salud preventiva, Referencias Médicas",-99.1916513,19.2861276,"19.2861276,-99.1916513"
33,FGJ,FGJ-089,Centro de Terapia de Apoyo a Víctimas de Delitos Sexuales (CTA),Calle Enrique Pestalozzi número 1115,1115,S/N,Del Valle,Benito Juárez,3100.0,Entre Samuel Serrano y Eje 6 Angel Urraza,9:00 a 19:00,L-V,centrocta@gmail.com,52009632,,52009634,,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Asistencia ante autoridades ministeriales y judiciales,-99.1610318,19.3811702,"19.3811702,-99.1610318"
34,FGJ,FGJ-091,Centro de Atención a la Violencia Intrafamiliar (CAVI),General Gabriel Hernández,56,Planta Baja,Doctores,Cuauhtémoc,6720.0,Metro balderas,9:00 A 19:00,L-D,centrocavi@gmail.com,53455229,,53455226,,Sí,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Atenciones a Juzgados con personal de psicología,-99.1473881,19.4243727,"19.4243727,-99.1473881"
35,FGJ,FGJ-093,Centro de Atención a Riesgos Victimales y Adicciones (CARIVA),Av. José María Izazaga,89,5° piso,Centro,Cuauhtémoc,6080.0,"Entre las calles Isabel la Catolica y 5 de febrero 
Enfrente de la Universidad  Claustro de Sor Juana",9:00 - 19:00,L-V,centrocariva@gmail.com,52009177,9177.0,52009172,9172,Sí,Sí,Sí,Sí,No,No,Sí,No,No,,,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,"Valoraciones de riesgo unicamente para medidas de emergencia, adolescentes,  adultas mayores y personas con discapacidad",-99.1365354,19.4257952,"19.4257952,-99.1365354"
36,FGJ,FGJ-094,Fiscalía Central de Investigación para la Atención del Delito de Trata de Personas,General Gabriel Hernández,56,S/N,Doctores,Cuauhtémoc,6720.0,Búnker de la Fiscalía General de Justicia de la Ciudad México,24 HORAS,365 DIAS,agenciaftp1@fgjcdmx.gob.mx,53468480,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,,-99.1473881,19.4243727,"19.4243727,-99.1473881"
37,FGJ,FGJ-100,Dirección de Cultura de la No Violencia y Orientación Jurídica,General Gabriel Hernández,56,3er piso,Doctores,Cuauhtémoc,6720.0,Metro Balderas,9 a 19 hrs,"L, M, X, J, V",dcnvyorientacionjuridica@gmail.com,5553455192,5192.0,55 5345 5231,5231,No,No,No,No,No,No,No,No,No,,,Sí,No,No,No,No,No,No,No,No,No,No,-99.1473881,19.4243727,"19.4243727,-99.1473881"
38,FGJ,FGJ-106,Agencia 5 de Fiscalía de Delitos Sexuales.,"Avenida Telecomunicaciones, casi esquina con calle Tres",S/N,S/N,Tepalcates,Iztapalapa,9210.0,Cabeza de Juarez,24hrs,L-D,emartínez_hernandez@fgjcdmx.gob.mx,53455657,5657.0,53455656,5656,Sí,No,No,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,-99.0486633,19.3854248,"19.3854248,-99.0486633"
39,SEMU,SEMU-003,Marcela Lagarde,Av. 22 de Febrero,421,S/N,Barrio de San Marcos,Azcapotzalco,2020.0,,09:00 a 19:00,Lunes a Viernes,luna.azcapotzalco@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.183133,19.4824779,"19.4824779,-99.183133"
40,SEMU,SEMU-006,Tina Modotti,Leopoldo Salazar,S/N,S/N,Copilco el Alto,Coyoacán,4360.0,Casi esquina Carlos Gonzalez Peña,09:00 a 19:00,Lunes a Viernes,luna.coyoacan@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.1760908,19.3322081,"19.3322081,-99.1760908"
41,SEMU,SEMU-007,Tina Modotti,Av. Rey Nezahualcoyotl,S/N,S/N,Ajusco Huayamilpas,Coyoacán,4300.0,Esquina Yaquis,09:00 a 19:00,Lunes a Viernes,luna.coyoacan@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.1547453,19.3248771,"19.3248771,-99.1547453"
42,SEMU,SEMU-009,Amparo Ochoa,José María Castorena,187,S/N,Cuajimalpa,Cuajimalpa,5000.0,,09:00 a 19:00,Lunes a Viernes,lunacuajimalpa2020@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.293919,19.3580938,"19.3580938,-99.293919"
43,SEMU,SEMU-013,Nahui Ollín,Camellón de Oriente 95 y Norte 50,S/N,S/N,La Joyita,Gustavo A. Madero,7860.0,,09:00 a 19:00,Lunes a Viernes,luna.gam19@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.1181305,19.4639599,"19.4639599,-99.1181305"
44,SEMU,SEMU-016,Elena Poniatowska,"Camino Cerro de la Estrella, módulo 4",S/N,S/N,El Santuario Aculco,Iztapalapa,9009.0,Centro Social Villa Estrella,09:00 a 19:00,Lunes a Viernes,lunaeniztapalapa@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.0921169,19.3516758,"19.3516758,-99.0921169"
45,SEMU,SEMU-019,Frida Kahlo,Av. Observatorio,S/N,S/N,Daniel Garza.,Miguel Hidalgo,11830.0,Esquina General José María Mendivil,09:00 a 19:00,Lunes a Viernes,luna.miguelhidalgo@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.2004363,19.40201,"19.40201,-99.2004363"
46,SEMU,SEMU-021,Cihual in Calli,"Av. Puebla, Esq. Av. Nuevo León",250,S/N,Villa Milpa Alta,Milpa Alta,12000.0,,09:00 a 19:00,Lunes a Viernes,luna.milpaalta@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.0307604,19.1980472,"19.1980472,-99.0307604"
47,SEMU,SEMU-022,Rosario Castellanos,Margarita,5,S/N,Quiahuatla,Tláhuac,13090.0,Entre Geranio y Jacaranda,09:00 a 19:00,Lunes a Viernes,luna.tlahuac1@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.0040395,19.2626299,"19.2626299,-99.0040395"
48,SEMU,SEMU-025,Esperanza Brito de Marti,Prolong. Lucas Alamán,11,Piso 1,Del Parque,Venustiano Carranza,15960.0,,09:00  a 19:00,Lunes a Viernes,lunavcarranza@gmail.com,,,,,Sí,Sí,Sí,No,No,No,No,No,No,,,Sí,Sí,No,No,No,Sí,No,Sí,No,No,,-99.1190055,19.4186445,"19.4186445,-99.1190055"
49,SEMU,SEMU-028,Línea Mujeres,Cecilio Robelo,3,Piso 2,Del Parque,Venustiano Carranza,15960.0,Esquina Congreso de la Unión,24 horas,365 días,,5658-1111,,,,Sí,Sí,No,No,No,No,No,No,No,,,Sí,No,No,No,No,Sí,No,No,No,No,,-99.1174721,19.425179,"19.425179,-99.1174721"
50,SEMU,SEMU-032,Módulo Abogadas de las Mujeres AZC 2 Y 4,Av.22 de febrero esquinaCastilla Oriente,S/N,S/N,Del Maestro,Azcapotzalco,2040.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1827767,19.4840489,"19.4840489,-99.1827767"
51,SEMU,SEMU-034,Módulo Abogadas de las Mujeres BJ 3 Y 4,Av.Obrero Mundial esquina Cuahutémoc,S/N,S/N,Narvarte,Benito Juárez,3020.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1556199,19.4018736,"19.4018736,-99.1556199"
52,SEMU,SEMU-036,Módulo Abogadas de las Mujeres COY 1 Y 2,Tecualipan y Zampotitla,S/N,S/N,Romero de Terreros,Coyoacán,4310.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1666016,19.3444204,"19.3444204,-99.1666016"
53,SEMU,SEMU-038,Módulo Abogadas de las Mujeres COY 4,Rey Tepalcatzin,S/N,S/N,Ajusco,Coyoacán,4300.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1616998,19.3202164,"19.3202164,-99.1616998"
54,SEMU,SEMU-043,Módulo Abogadas de las Mujeres CUH 3,Peralvillo,122,S/N,Morelos,Cuauhtémoc,6200.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1314096,19.4517694,"19.4517694,-99.1314096"
55,SEMU,SEMU-045,Módulo Abogadas de las Mujeres CUH 5,Santa Maria la Ribera,37,S/N,Santa Maria La Ribera,Cuauhtémoc,6400.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1580224,19.4428373,"19.4428373,-99.1580224"
56,SEMU,SEMU-046,Módulo Abogadas de las Mujeres CUH 6,Victoria,76,S/N,"Centro de la Ciudad de México, Area 2",Cuauhtémoc,6010.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1459347,19.4317947,"19.4317947,-99.1459347"
57,SEMU,SEMU-048,Módulo Abogadas de las Mujeres CUH 8,Chimalpopoca,100,S/N,Obrera,Cuauhtémoc,6010.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1372373,19.4227001,"19.4227001,-99.1372373"
58,SEMU,SEMU-050,Módulo Abogadas de las Mujeres GAM 2,H. Congreso de la Union  y Talisman,S/N,S/N,Granjas Modernas,Gustavo A. Madero,7460.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1080804,19.4736823,"19.4736823,-99.1080804"
59,SEMU,SEMU-058,Módulo Abogadas de las Mujeres IZP 1 Y 4,Av.5 de mayo  esquina Callejón Victoria,S/N,S/N,Barrio San Lucas,Iztapalapa,9000.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.0438909,19.341998,"19.341998,-99.0438909"
60,SEMU,SEMU-064,Módulo Abogadas de las Mujeres IZP 8,Cerrada Zacatlán,S/N,S/N,Lomas de San Lorenzo,Iztapalapa,9780.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.0663754,19.3112768,"19.3112768,-99.0663754"
61,SEMU,SEMU-077,Módulo Abogadas de las Mujeres TLP 2 Y 3,Jojutla y Mariano Matamoros,S/N,S/N,Tlalpan Centro,Tlalpan,14000.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.165384,19.2837511,"19.2837511,-99.165384"
62,SEMU,SEMU-081,Módulo Abogadas de las Mujeres VC 3,Av. Fray Servando Teresa de Mier  esquina Francisco del Paso y Troncoso,S/N,S/N,Jardín  Balbuena,Venustiano Carranza,15900.0,En el interior de la Agencia del Ministerio Público,08:00 a 21:00,lunes a domingo,estrategia. Abogadas.2019@gmail.com,55122772,404.0,22122836,403,No,No,No,No,No,No,No,No,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,-99.1122719,19.4198265,"19.4198265,-99.1122719"
