id,nombre,domicilio_con_nombre,coordenadas,latitud,longitud,geopoint,domicilio
23,SECUNDARIA GENERAL - JOSE GUADALUPE NAJERA JIMENEZ,"DOMICILIO: CERRO MERCADO Y CERRO SAN FRANCISCO NO 263, CAMPESTRE CHURUBUSCO, DELEGACION COYOACAN, MEXICO DF.","-99.13206300019365,19.34465400022449,0",19.34465400022449,-99.13206300019364,"19.3446540002,-99.1320630002","CERRO MERCADO Y CERRO SAN FRANCISCO NO 263, CAMPESTRE CHURUBUSCO, DELEGACION COYOACAN, MEXICO DF."
24,PRIMARIA GENERAL - PRESIDENTE PLUTARCO ELIAS CALLES,"DOMICILIO: AV PLUTARCO ELIAS CALLES NO 972, REFORMA IXTACCIHUATL, DELEGACION IZTACALCO, MEXICO DF.","-99.13235499970071,19.39029699996818,0",19.39029699996,-99.1323549997,"19.390297,-99.1323549997","AV PLUTARCO ELIAS CALLES NO 972, REFORMA IXTACCIHUATL, DELEGACION IZTACALCO, MEXICO DF."
25,"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 12 V","DOMICILIO: 11 DE ABRIL NO  188, TACUBAYA, DELEGACION MIGUEL HIDALGO, MEXICO DF.",,,,,"11 DE ABRIL NO  188, TACUBAYA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
26,PRIMARIA GENERAL - LUIS CASTILLO LEDON,"DOMICILIO: LAGOS ZURICH Y GINEBRA, 5 DE MAYO, DELEGACION MIGUEL HIDALGO, MEXICO DF.",,,,,"LAGOS ZURICH Y GINEBRA, 5 DE MAYO, DELEGACION MIGUEL HIDALGO, MEXICO DF."
27,PRIMARIA GENERAL - ANTONIO GARCIA CUBAS,"DOMICILIO: CALZ DE LA VIGA NO 865, CONJUNTO HABITACIONAL SANTIAGO, DELEGACION IZTACALCO, MEXICO DF.","-99.12216099979662,19.38987700039841,0",19.38987700039,-99.12216099979,"19.3898770004,-99.1221609998","CALZ DE LA VIGA NO 865, CONJUNTO HABITACIONAL SANTIAGO, DELEGACION IZTACALCO, MEXICO DF."
28,PREESCOLAR GENERAL - AMERICA LATINA,"DOMICILIO: ORIENTE 233 Y CDA DE ORIENTE 233, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF.","-99.07785608844775,19.39763921329553,0",19.39763921329,-99.07785608844,"19.3976392133,-99.0778560884","ORIENTE 233 Y CDA DE ORIENTE 233, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
29,PRIMARIA GENERAL - DR. SALVADOR ALLENDE,"DOMICILIO: BLVD DEL TEMOLUCO Y LA ESCOLLERA, CONJ HAB ACUEDUCTO DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF.","-99.14830900008849,19.52483600040132,0",19.5248360004,-99.14830900008,"19.5248360004,-99.1483090001","BLVD DEL TEMOLUCO Y LA ESCOLLERA, CONJ HAB ACUEDUCTO DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
30,PRIMARIA GENERAL - REGENTE URUCHURTU,"DOMICILIO: CALLE 1 NO 26, SAN JOSE DE LA ESCALERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.","-99.16410750907055,19.52320046913528,0",19.52320046913,-99.16410750907,"19.5232004691,-99.1641075091","CALLE 1 NO 26, SAN JOSE DE LA ESCALERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
31,PRIMARIA GENERAL - ANA MARIA BERLANGA,"DOMICILIO: CALLE 507 PLAZA 2, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF.","-99.09604299996852,19.47565800010839,0",19.4756580001,-99.09604299996,"19.4756580001,-99.096043","CALLE 507 PLAZA 2, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
32,ESCUELA SECUNDARIA TECNICA 44,"DOMICILIO: FRANCISCO DEL PASO Y TRONCOSO Y CALLE DEL ROSAL S/N, PUEBLO MAGDALENA ATLAZOLPA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.10849137138679,19.37742176395585,0",19.37742176395,-99.10849137138,"19.377421764,-99.1084913714","FRANCISCO DEL PASO Y TRONCOSO Y CALLE DEL ROSAL S/N, PUEBLO MAGDALENA ATLAZOLPA, DELEGACION IZTAPALAPA, MEXICO DF."
33,PREESCOLAR GENERAL - PROFR. BALDOMERO SAMANO MUÐOZ,"DOMICILIO: ARQUEOLOGOS 106 Y RIO CHURUBUSCO, EL RETONO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.12334900022076,19.37247400034294,0",19.37247400034,-99.12334900022,"19.3724740003,-99.1233490002","ARQUEOLOGOS 106 Y RIO CHURUBUSCO, EL RETONO, DELEGACION IZTAPALAPA, MEXICO DF."
34,ESCUELA SECUNDARIA TECNICA 115,"DOMICILIO: AV. DEL PARAISO ESQ. CAPULIN, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF.","-98.99257647763812,19.3393236264426,0",19.33932362644,-98.99257647763,"19.3393236264,-98.9925764776","AV. DEL PARAISO ESQ. CAPULIN, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
35,PRIMARIA GENERAL - PROFR. JOSE DAVILA,"DOMICILIO: AV.NAUTLA NO.69, CASA BLANCA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.06845068457696,19.3325453139936,0",19.33254531399,-99.06845068457,"19.332545314,-99.0684506846","AV.NAUTLA NO.69, CASA BLANCA, DELEGACION IZTAPALAPA, MEXICO DF."
36,"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - JUAN HUARTE DE SAN JUAN","DOMICILIO: CAMINO CERRO DE LA ESTRELLA S/N EDIF 5, EL SANTUARIO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.09052913971004,19.35461755431248,0",19.35461755431,-99.09052913971,"19.3546175543,-99.0905291397","CAMINO CERRO DE LA ESTRELLA S/N EDIF 5, EL SANTUARIO, DELEGACION IZTAPALAPA, MEXICO DF."
37,PRIMARIA GENERAL - JULIO CORTAZAR,"DOMICILIO: AV.JUAN CRISOSTOMO BONILLA S/N, UNIDAD HAB IGNACIO ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.03650599987962,19.38719899973131,0",19.38719899973,-99.03650599987,"19.3871989997,-99.0365059999","AV.JUAN CRISOSTOMO BONILLA S/N, UNIDAD HAB IGNACIO ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
38,PREESCOLAR GENERAL - CARLOS CHAVEZ,"DOMICILIO: CIRCUITO RIO MIXTECO S/N, CONJ HAB REAL DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF.","-99.08127200002755,19.38593999998705,0",19.38593999998,-99.08127200002,"19.38594,-99.081272","CIRCUITO RIO MIXTECO S/N, CONJ HAB REAL DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF."
39,PREESCOLAR GENERAL - TLAMATINI,"DOMICILIO: FELIPE ANGELES S/N, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF.","-98.990292999996,19.33982500007121,0",19.3398250000712,-98.99029299999,"19.3398250001,-98.990293","FELIPE ANGELES S/N, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
40,SECUNDARIA GENERAL - UNION DE REPUBLICAS SOCIALISTAS SOVIETICAS,"DOMICILIO: CIENFUEGOS NO 1069, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.","-99.12276500000419,19.50102100004763,0",19.50102100004,-99.122765,"19.501021,-99.122765","CIENFUEGOS NO 1069, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
41,SECUNDARIA GENERAL - GUSTAVO A MADERO,"DOMICILIO: PUERTO MAZATLAN Y MOCTEZUMA, LA PASTORA, DELEGACION GUSTAVO A. MADERO, MEXICO DF.","-99.13983109455018,19.5236806223959,0",19.52368062239,-99.13983109455,"19.5236806224,-99.1398310946","PUERTO MAZATLAN Y MOCTEZUMA, LA PASTORA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
42,PRIMARIA GENERAL - LUIS GONZALEZ OBREGON,"DOMICILIO: ENRIQUE REXAMEN 8, NARVARTE, DELEGACION BENITO JUAREZ, MEXICO DF..","-99.15845200003916,19.40268200007878,0",19.40268200007878,-99.15845200003916,"19.4026820001,-99.158452","ENRIQUE REXAMEN 8, NARVARTE, DELEGACION BENITO JUAREZ, MEXICO DF.."
43,"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 2","DOMICILIO: CASTILLA NO  148, ALAMOS, DELEGACION BENITO JUAREZ, MEXICO DF..","-99.14274207373268,19.397658910193,0",19.397658910193,-99.14274207373268,"19.3976589102,-99.1427420737","CASTILLA NO  148, ALAMOS, DELEGACION BENITO JUAREZ, MEXICO DF.."
44,PREESCOLAR GENERAL - TLAHUI OLLIN,"DOMICILIO: EL ROBLE S/N ESQ. AV. NUEVO LEON, BARRIO CALTONGO, DELEGACION XOCHIMILCO, MEXICO DF.","-99.08004229548878,19.25803770757732,0",19.25803770757,-99.08004229548,"19.2580377076,-99.0800422955","EL ROBLE S/N ESQ. AV. NUEVO LEON, BARRIO CALTONGO, DELEGACION XOCHIMILCO, MEXICO DF."
45,PRIMARIA GENERAL - CARLOS GARCIA,"DOMICILIO: NARCISO MENDOZA NO 19, SANTA MARIA NATIVITAS, DELEGACION XOCHIMILCO, MEXICO DF.","-99.09222200006684,19.24381699968774,0",19.24381699968,-99.09222200006,"19.2438169997,-99.0922220001","NARCISO MENDOZA NO 19, SANTA MARIA NATIVITAS, DELEGACION XOCHIMILCO, MEXICO DF."
46,PRIMARIA GENERAL - RUMANIA,"DOMICILIO: AV PANAMERICANA S/N, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF.","-99.17010499995412,19.30961099961738,0",19.30961099961738,-99.17010499995412,"19.3096109996,-99.170105","AV PANAMERICANA S/N, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF."
47,PREESCOLAR GENERAL - HEROES DEL MOLINO DEL REY,"DOMICILIO: JULIAN DE LOS REYES NO 14, JUAN ESCUTIA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.05557600002062,19.39859900040599,0",19.3985990004,-99.05557600002,"19.3985990004,-99.055576","JULIAN DE LOS REYES NO 14, JUAN ESCUTIA, DELEGACION IZTAPALAPA, MEXICO DF."
48,PREESCOLAR GENERAL - REPUBLICA DE CHECOSLOVAQUIA,"DOMICILIO: MANUEL CAÐAS Y VILLA FEDERAL S/N, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF.","-99.0443214031903,19.32717570328523,0",19.327175703285,-99.04432140319,"19.3271757033,-99.0443214032","MANUEL CAÐAS Y VILLA FEDERAL S/N, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF."
49,PRIMARIA GENERAL - NICOLAS GARCIA DE SAN VICENTE,"DOMICILIO: CHILPANCINGO SUR NO.60, CONJ POPULAR HAB ERMITA ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF.","-98.99773600010644,19.36380799986423,0",19.36380799986,-98.9977360001,"19.3638079999,-98.9977360001","CHILPANCINGO SUR NO.60, CONJ POPULAR HAB ERMITA ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
50,PRIMARIA GENERAL - ALBERTO MASFERRER,"DOMICILIO: SUR 103 A NO 604 Y AGUSTIN YAÐEZ, SECTOR POPULAR, DELEGACION IZTAPALAPA, MEXICO DF.","-99.11848100000984,19.3659039998468,0",19.36590399984,-99.118481,"19.3659039998,-99.118481","SUR 103 A NO 604 Y AGUSTIN YAÐEZ, SECTOR POPULAR, DELEGACION IZTAPALAPA, MEXICO DF."
51,SECUNDARIA GENERAL - JOSE NATIVIDAD MACIAS,"DOMICILIO: LIC NATIVIDAD Y FRANCISCO ANDRADE, SAN MIGUEL, DELEGACION IZTAPALAPA, MEXICO DF.","-99.06726060592726,19.35115745365757,0",19.35115745365,-99.06726060592,"19.3511574536,-99.0672606059","LIC NATIVIDAD Y FRANCISCO ANDRADE, SAN MIGUEL, DELEGACION IZTAPALAPA, MEXICO DF."
52,PREESCOLAR GENERAL - DR. ALFONSO ORTIZ TIRADO,"DOMICILIO: PLAZA GUARDIOLA Y PZA BUENAVISTA, DOCTOR ALFONSO ORTIZ TIRADO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.07665313382341,19.38698932595863,0",19.38698932595,-99.07665313382,"19.386989326,-99.0766531338","PLAZA GUARDIOLA Y PZA BUENAVISTA, DOCTOR ALFONSO ORTIZ TIRADO, DELEGACION IZTAPALAPA, MEXICO DF."
53,PREESCOLAR GENERAL - ITZURI,"DOMICILIO: MATAMOROS Y FRANCISCO JAVIER MINA S/N, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.03635006919373,19.34163701633691,0",19.34163701633,-99.03635006919,"19.3416370163,-99.0363500692","MATAMOROS Y FRANCISCO JAVIER MINA S/N, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
54,PRIMARIA GENERAL - FRANCISCO MARQUEZ,"DOMICILIO: AV.YUCATAN NO.30, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.01888600017102,19.36033900027918,0",19.36033900027,-99.01888600017,"19.3603390003,-99.0188860002","AV.YUCATAN NO.30, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF."
55,PRIMARIA GENERAL - PROFR. ANGEL SALAS BONILLA,"DOMICILIO: VERGEL NO.6, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.05008199989399,19.33972600004732,0",19.33972600004,-99.05008199989,"19.339726,-99.0500819999","VERGEL NO.6, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
56,PRIMARIA GENERAL - PLAN DE SAN LUIS,"DOMICILIO: AV.JUAREZ NO.4, LOS REYES CULHUACAN, DELEGACION IZTAPALAPA, MEXICO DF.","-99.11165771807816,19.33524135423985,0",19.33524135423,-99.11165771807,"19.3352413542,-99.1116577181","AV.JUAREZ NO.4, LOS REYES CULHUACAN, DELEGACION IZTAPALAPA, MEXICO DF."
57,SECUNDARIA GENERAL - RAMON BETETA,"DOMICILIO: OAXACA S/N ESQ YUCATAN, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF.","-99.01590034657453,19.36062080937909,0",19.36062080937,-99.01590034657,"19.3606208094,-99.0159003466","OAXACA S/N ESQ YUCATAN, PUEBLO SN SEBASTIAN TECOLOXTITLA, DELEGACION IZTAPALAPA, MEXICO DF."
58,SECUNDARIA GENERAL - JAPON,"DOMICILIO: VERGEL Y 5 DE MAYO, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF.","-99.04888595864253,19.3406763548899,0",19.34067635488,-99.04888595864,"19.3406763549,-99.0488859586","VERGEL Y 5 DE MAYO, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
59,PRIMARIA GENERAL - HERMANOS FLORES MAGON,"DOMICILIO: BENITO JUAREZ NO.1, IXTLAHUACAN, DELEGACION IZTAPALAPA, MEXICO DF.","-98.99823399981128,19.34249699994449,0",19.34249699994,-98.99823399981,"19.3424969999,-98.9982339998","BENITO JUAREZ NO.1, IXTLAHUACAN, DELEGACION IZTAPALAPA, MEXICO DF."
60,SECUNDARIA GENERAL - BERTRAND RUSSELL,"DOMICILIO: CAMPOS IDOLOS Y FORTUNA NACIONAL, AMPLIACION PETROLERA, DELEGACION AZCAPOTZALCO, MEXICO DF.","-99.20653530650401,19.48097346812985,0",19.48097346812985,-99.206535306504,"19.4809734681,-99.2065353065","CAMPOS IDOLOS Y FORTUNA NACIONAL, AMPLIACION PETROLERA, DELEGACION AZCAPOTZALCO, MEXICO DF."
61,SECUNDARIA GENERAL - NETZAHUALCOYOTL,"DOMICILIO: AV AQUILES SERDAN Y 1RA PRIV AQUILES SERDAN, SANTO DOMINGO, DELEGACION AZCAPOTZALCO, MEXICO DF.","-99.18932823690035,19.47066926280063,0",19.47066926280063,-99.18932823690037,"19.4706692628,-99.1893282369","AV AQUILES SERDAN Y 1RA PRIV AQUILES SERDAN, SANTO DOMINGO, DELEGACION AZCAPOTZALCO, MEXICO DF."
62,ESCUELA SECUNDARIA TECNICA 88,"DOMICILIO: CALLE PUERTO SAN BLAS No. 59 , COLONIA PILOTO ADOLFO LOPEZ MATEOS, DELEGACION ALVARO OBREGON, MEXICO DF.","-99.2311079999983,19.37261899992764,0",19.37261899992764,-99.2311079999983,"19.3726189999,-99.231108","CALLE PUERTO SAN BLAS No. 59 , COLONIA PILOTO ADOLFO LOPEZ MATEOS, DELEGACION ALVARO OBREGON, MEXICO DF."
63,PRIMARIA GENERAL - JOSE DE JESUS IBARRA Y ROBLES,"DOMICILIO: POLVORA S/N Y AV AUSTRIACOS, COLONIA EL PARAISO, DELEGACION ALVARO OBREGON, MEXICO DF.","-99.21271190316664,19.39215404004692,0",19.39215404004692,-99.21271190316664,"19.39215404,-99.2127119032","POLVORA S/N Y AV AUSTRIACOS, COLONIA EL PARAISO, DELEGACION ALVARO OBREGON, MEXICO DF."
64,SECUNDARIA GENERAL - REPUBLICA MEXICANA,"DOMICILIO: ABRAHAM GONZALEZ NO 47, JUAREZ, DELEGACION CUAUHTEMOC, MEXICO DF.","-99.15375999982446,19.42965200022882,0",19.42965200022882,-99.15375999982446,"19.4296520002,-99.1537599998","ABRAHAM GONZALEZ NO 47, JUAREZ, DELEGACION CUAUHTEMOC, MEXICO DF."
